"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"5"	5	17270.5	"ibudareign"	44.9	"Kopavogur"	3.14
"49"	49	37440	"ibudareign"	121.9	"Kopavogur"	2.71
"173"	173	28251.6	"ibudareign"	73.2	"Vesturbaer"	2.986
"474"	474	32727.5	"ibudareign"	96.2	"Kopavogur"	2.804
"515"	515	23289.5	"ibudareign"	92.2	"Grafarvogur"	2.431
"547"	547	31695.3	"ibudareign"	114.2	"Hafnarfjordur"	2.612
"584"	584	85550.4	"einbylishus"	283.7	"Gerdin"	3.452
"632"	632	49643.1	"ibudareign"	135.9	"Kopavogur"	3.219
"646"	646	19266	"ibudareign"	48.4	"Midbaer"	2.41
"658"	658	24524.5	"ibudareign"	76.7	"Grafarvogur"	3.029
"718"	718	23660	"ibudareign"	83	"LaugarneshverfiVogar"	2.801
"816"	816	19406.4	"ibudareign"	76.6	"Breidholt"	2.182
"824"	824	34643.7	"ibudareign"	112.5	"Hlidar"	2.717
"1144"	1144	25470.9	"ibudareign"	74.7	"Midbaer"	2.003
"1328"	1328	26208	"ibudareign"	83.9	"Mosfellsbaer"	2.611
"1445"	1445	43251	"einbylishus"	161.7	"Kopavogur"	2.447
"1536"	1536	33173.4	"ibudareign"	91.7	"Kopavogur"	3.153
"1730"	1730	23809.5	"ibudareign"	69	"Gardabaer"	2.968
"2170"	2170	26098.8	"ibudareign"	92.5	"Hafnarfjordur"	2.792
"2218"	2218	24050	"ibudareign"	100.1	"Kopavogur"	1.91
"2708"	2708	74414.6	"einbylishus"	260	"Arbaer"	2.64
"2824"	2824	17716.4	"ibudareign"	54.8	"Midbaer"	2.172
"2826"	2826	74011.6	"einbylishus"	165.9	"Gardabaer"	3.794
"2978"	2978	28099.5	"ibudareign"	106.3	"Hafnarfjordur"	2.248
"3004"	3004	22595.3	"ibudareign"	71.8	"Hafnarfjordur"	2.845
"3067"	3067	27761.5	"ibudareign"	113.4	"Hafnarfjordur"	2.211
"3420"	3420	33576.4	"ibudareign"	85.8	"Midbaer"	2.666
"3459"	3459	28832.7	"ibudareign"	66.6	"Vesturbaer"	3.752
"3471"	3471	35750	"einbylishus"	86.8	"Kopavogur"	3.431
"3658"	3658	40414.4	"ibudareign"	107.8	"Hafnarfjordur"	3.297
"3818"	3818	24774.1	"ibudareign"	69.3	"Haaleiti"	2.83
"4019"	4019	43355	"ibudareign"	116.5	"Kopavogur"	3.686
"4053"	4053	47681.4	"ibudareign"	130.4	"Kopavogur"	3.586
"4184"	4184	24421.8	"ibudareign"	58.6	"Gerdin"	3.884
"4196"	4196	32779.5	"ibudareign"	95.6	"LaugarneshverfiVogar"	3.213
"4323"	4323	25730.9	"ibudareign"	97.4	"Kopavogur"	2.542
"4335"	4335	66024.4	"ibudareign"	160.6	"Midbaer"	2.826
"4498"	4498	28035.8	"ibudareign"	83.6	"Grafarholt"	3.347
"4717"	4717	20772.7	"ibudareign"	78.1	"Kopavogur"	2.289
"4722"	4722	38828.4	"ibudareign"	109.3	"Kopavogur"	3.07
"4824"	4824	22928.1	"ibudareign"	57.7	"Grafarvogur"	4.074
"5322"	5322	26696.8	"ibudareign"	88.5	"Grafarvogur"	2.609
"5336"	5336	49145.2	"radhus"	125.2	"Mosfellsbaer"	3.696
"5617"	5617	62162.1	"einbylishus"	155	"Hafnarfjordur"	3.832
"5909"	5909	36225.8	"ibudareign"	106.9	"Hafnarfjordur"	2.874
"6124"	6124	57305.3	"ibudareign"	152.4	"LaugarneshverfiVogar"	3.339
"6176"	6176	39794.3	"ibudareign"	125.8	"Kopavogur"	2.598
"6426"	6426	18194.8	"ibudareign"	43.3	"Hafnarfjordur"	3.404
"6685"	6685	28600	"ibudareign"	73.3	"Hlidar"	2.874
"6703"	6703	44460	"radhus"	142.5	"Breidholt"	2.676
"6862"	6862	57092.1	"einbylishus"	216	"Kopavogur"	2.467
"6892"	6892	22046.7	"ibudareign"	69.9	"Gerdin"	3.631
"6951"	6951	25967.5	"ibudareign"	80.4	"Breidholt"	2.395
"6964"	6964	64846.6	"einbylishus"	151.2	"Kopavogur"	3.991
"7049"	7049	25474.8	"ibudareign"	60.2	"Kopavogur"	3.62
"7067"	7067	56348.5	"ibudareign"	154.8	"Seltjarnanes"	3.24
"7083"	7083	30590.3	"ibudareign"	46.1	"Hlidar"	3.394
"7105"	7105	66794	"Parhus"	142.1	"Kopavogur"	3.737
"7134"	7134	28871.7	"ibudareign"	132.8	"Hafnarfjordur"	2.146
"7155"	7155	39780	"ibudareign"	120.2	"Kopavogur"	2.843
"7174"	7174	29863.6	"radhus"	73.5	"Kopavogur"	3.329
"7287"	7287	31999.5	"ibudareign"	76.6	"Grafarvogur"	3.559
"7305"	7305	35408.1	"ibudareign"	103.3	"Kopavogur"	2.831
"7708"	7708	33633.6	"ibudareign"	103.2	"Hafnarfjordur"	2.813
"7738"	7738	44928	"radhus"	126.6	"Kopavogur"	2.984
