"nrhus"	"nuvirdi"	"ibm2"	"gaedi"
1	24226.8	117	1.812
2	18813.6	45.7	2.406
3	19305	78.1	1.89
4	23389.6	89.5	2.084
5	17270.5	44.9	3.14
6	66322.1	195.7	3.081
7	30954.3	92.7	2.885
8	27021.8	83.9	2.777
9	37715.6	148.7	2.096
10	29374.8	113.6	2.45
11	47301.8	119.4	3.349
12	29857.1	86.4	4.045
13	28600	106.7	2.092
14	22713.6	104.1	1.804
15	22664.2	96.7	2.113
16	27300	80.3	4.253
17	32164.6	112	2.964
18	48547.2	156.2	2.618
19	26236.6	106	2.513
20	20432.1	53.1	3.329
21	22503	59.7	3.286
22	44825.3	127.3	3.164
23	35028.5	103.1	3.288
24	18125.9	51.7	2.784
25	67406.3	220.7	2.823
26	30940	105.8	2.833
27	68023.8	192.5	3.348
28	36124.4	117.5	2.822
29	19630	63.2	1.976
30	20008.3	79.3	2.331
31	39599.3	110.1	3.04
32	31164.9	101.4	2.918
33	43078.1	115.8	3.465
34	49558.6	132.7	3.38
35	22162.4	108.7	2.008
36	22386	90.5	2.076
37	68640	143.3	4.126
38	32295.9	90	3.45
39	25667.2	59.3	3.591
40	82209.4	154.1	3.545
41	61479.6	130.4	3.676
42	44058.3	118.7	3.205
43	33894.9	92.3	3.423
44	40032.2	107.7	3.221
45	27300	97.4	2.702
46	77054.9	229.5	3.147
47	33361.9	98.6	3.093
48	20618	68.5	2.924
49	37440	121.9	2.71
50	22785.1	57.8	2.548
51	46316.4	119.6	2.997
52	32337.5	89.2	4.092
53	18980	67.2	2.118
54	34333	107.2	2.923
55	60866	156	3.309
56	51218.7	189.6	2.354
57	25981.8	75.3	2.693
58	32589.7	115.7	1.717
59	20121.4	61	2.064
60	34628.1	115.7	1.818
61	30576	130.7	1.926
62	47273.2	123.7	3.628
63	64509.9	184.7	3.238
64	28600	95.1	2.922
65	34869.9	93.5	3.119
66	41545.4	113.2	3.349
67	46800	136.9	3.145
68	54319.2	135	3.488
69	38539.8	115.5	2.787
70	41206.1	131.1	3.695
71	38376	146.9	2.198
72	27341.6	114.8	1.809
73	37339.9	109	3.329
74	32459.7	82.5	2.381
75	16772.6	51.7	2.56
76	32802.9	68.8	2.948
77	21879	68.1	2.54
78	41577.9	111	3.177
79	16900	61.2	2.013
80	29035.5	106.7	2.054
81	35002.5	122.1	2.224
82	129056.2	276.2	4.188
83	34451.3	88.3	3.805
84	32958.9	79.2	3.899
85	182975	230.9	4.191
86	94439.8	199.6	4.066
87	25313.6	67	3.741
88	38190.1	99.7	3.618
89	22100	95.8	1.92
90	45901.7	148.9	2.536
91	29209.7	88	3.081
92	34960.9	93.3	3.477
93	23853.7	82.7	2.506
94	47871.2	159.9	2.735
95	140592.4	352.3	2.471
96	31705.7	95.2	2.781
97	25099.1	70.9	3.028
98	25123.8	102.3	2.38
99	28688.4	105.1	2.747
100	100100	303.9	3.128
101	21296.6	69.1	2.891
102	18350.8	64.1	2.51
103	23692.5	66.2	3.077
104	27406.6	101.9	2.333
105	41600	123.8	2.582
106	34976.5	87.6	2.705
107	60238.1	130.3	3.777
108	29510	88.6	3.214
109	23813.4	73	2.68
110	23010	47.3	4.295
111	29897.4	97.4	2.61
112	23987.6	97.4	2.242
113	46532.2	219.8	1.934
114	55450.2	173.1	3.109
115	46148.7	122.7	3.217
116	34582.6	94.7	3.608
117	70324.8	210.3	2.111
118	27852.5	74.4	3.228
119	37398.4	115.2	2.878
120	23335	105.2	1.906
121	40043.9	117.4	3.516
122	29157.7	82.7	3.065
123	17630.6	72	1.993
124	27190.8	125.7	1.803
125	35748.7	153.3	1.962
126	29143.4	88.3	3.032
127	28636.4	85.2	2.859
128	32425.9	108.8	2.814
129	16077.1	37.6	3.945
