"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"3548"	"15"	"2.198"	"2.113"	"98.6"	"98"	"128056.5"	"139180"	"Br"	"Breidholt"
"3653"	"10"	"2.594"	"2.45"	"80.7"	"70"	"142909"	"182500"	"Hl"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"4935"	"4"	"2.722"	"2.084"	"88"	"77"	"147036.5"	"166634"	"Hl"	"Hlutlaus"
"5664"	"67"	"3.245"	"3.145"	"57.8"	"55"	"144885"	"147731"	"Mi"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"5666"	"28"	"3.258"	"2.822"	"75.1"	"75"	"133900"	"136711"	"Ko"	"Hlutlaus"
"5967"	"2"	"3.491"	"2.406"	"54"	"45"	"136136"	"162435"	"Mi"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"6563"	"59"	"2.343"	"2.064"	"108.1"	"104"	"152737"	"155040"	"Ko"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Hafnarfjordur Mosfellsbaer"
"8141"	"69"	"2.986"	"2.787"	"82.3"	"74"	"133250"	"194931"	"Hf"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur Mosfellsbaer"
"9227"	"43"	"3.848"	"3.423"	"62.8"	"55"	"125378.5"	"197663"	"Gv"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"9640"	"55"	"3.381"	"3.309"	"69.9"	"68"	"133250"	"193371"	"Hf"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"11519"	"27"	"3.624"	"3.348"	"63.2"	"63"	"143598"	"203593"	"Hf"	"Hlutlaus"
