        i   k    gi    gj    mi  mj       ci     cj
1   19433   4 2.235 2.084  97.4  77 125840.0 166634
2   11994  10 3.568 2.450  79.8  70 181961.0 182500
3    5283  15 2.222 2.113 100.2  98 129220.0 139180
4    9744  18 3.335 2.618 122.6  87 214110.0 226172
5    2378  20 4.031 3.329  99.3  88 213024.5 235399
6    2600  24 3.977 2.784  59.1  45 122076.5 148537
7   19071  25 3.089 2.823  73.5  73 122473.0 122953
8    5144  27 3.366 3.348  73.1  63 132996.5 203593
9    2518  31 3.111 3.040  85.1  85 142610.0 180546
10  12645  43 3.610 3.423  60.7  55 144287.0 197663
11   8319  53 2.290 2.118 102.0  70 124390.5 234328
12  12673  55 3.430 3.309  76.4  68 136402.5 193371
13  12968  56 3.196 2.354  81.0  81 139685.0 162991
14  18494  58 1.988 1.717  94.2  91 123162.0 150805
15   5785  60 2.159 1.818  97.4  74 129909.0 183662
16   5062  63 3.488 3.238  76.7  72 138222.5 168345
17   1098  67 4.119 3.145  62.8  55 139678.5 147731
18   6262  75 2.996 2.560  81.0  77 135824.0 196716
19   4398  77 2.610 2.540  79.9  68 123051.5 130963
20   2707  79 2.299 2.013  89.0  81 128199.5 142704
21  16392  92 3.604 3.477  78.1  55 151749.0 166660
22  18280  98 2.553 2.380  86.3  74 129122.5 166532
23  16116 103 3.293 3.077  61.9  59 133159.0 153200
24  18544 105 2.885 2.582 129.6 109 154596.0 181197
25   4859 111 2.654 2.610  81.6  67 121881.5 201466
26  19152 118 3.268 3.228  76.7  66 122804.5 141256
27   9434 119 3.510 2.878 109.8  69 214045.0 214518
28   2834 120 1.923 1.906 101.7  92 124026.5 181249
29  18085 128 3.211 2.814  78.8  78 136363.5 163155
30   8681 131 2.222 2.127  94.3  82 129974.0 130895
31   7092 133 3.214 2.982  79.4  74 139685.0 193170
32   4148 136 2.666 2.505  89.9  86 131163.5 131941
33    148 144 3.038 2.712  85.5  84 136350.5 153824
34   4939 150 3.019 2.882  62.5  53 123454.5 127160
35   6127 155 3.025 3.002  79.9  78 125450.0 197398
36  17743 156 2.343 2.188  94.3  88 123870.5 142020
37  12152 160 3.070 2.725 113.3  68 214038.5 221925
38   5598 163 2.813 2.421  80.8  74 129597.0 160563
39   7579 175 3.852 3.573  78.8  70 149500.0 161462
40    405 184 2.085 2.022 102.6  67 123500.0 126274
41  18905 188 3.070 2.943  72.0  53 123948.5 157662
42   4751 194 2.443 2.301  88.1  88 125450.0 126704
43  19159 196 2.301 1.899 101.9  98 146009.5 185262
44   1603 199 3.840 3.345  70.5  63 139678.5 198592
45   1631 201 2.353 2.311  83.3  69 123448.0 132644
46  16865 202 3.332 3.212  70.0  70 134244.5 134432
47   8798 204 3.744 3.275  72.3  67 151313.5 151571
48   6546 205 3.950 3.926  68.8  37 146250.0 212384
49   6351 210 2.956 2.671  51.4  51 127920.0 128129
50  15654 225 3.286 2.469  86.8  83 150741.5 151417
51  18720 226 2.689 2.481  99.6  75 146529.5 147586
52  13423 227 3.159 2.963  92.9  80 155870.0 156046
53   9763 228 3.427 2.655  90.3  90 152100.0 160883
54  12136 234 4.020 3.128  74.0  61 155928.5 171250
55   8015 236 3.529 3.356  92.2  92 136500.0 141576
56   8853 238 3.486 3.162  75.6  74 168818.0 189696
57    840 239 2.952 2.431  94.7  94 144430.0 146736
58   5421 241 2.701 2.402  75.2  73 128076.0 135685
59   6905 243 2.199 2.119  97.4  92 128700.0 129640
60   9574 248 3.306 3.274  80.7  61 214097.0 233568
61   5235 250 3.229 2.615  87.6  83 152334.0 178311
62  13386 253 3.706 3.526  65.0  59 123422.0 137617
63  15726 255 3.550 3.152  66.4  65 139581.0 140528
64   1414 258 2.721 2.450  98.8  96 147751.5 168052
65   1405 261 3.547 3.533  60.7  54 122863.0 133326
66   7149 265 2.459 2.341  91.0  52 123500.0 141538
67   3588 271 3.728 2.778  79.7  68 131547.0 139526
68  13960 276 2.893 2.750  89.9  83 146250.0 180423
69   5645 280 3.452 3.045  72.5  60 145697.5 146279
70    719 281 3.248 3.077  69.6  68 140322.0 143186
71    108 282 3.214 2.902  88.6  78 147550.0 149953
72    349 286 3.512 3.187  78.5  77 138372.0 144749
73   4494 294 3.033 3.000  68.6  68 126119.5 185762
74  18600 307 2.461 2.014 112.6 106 156000.0 158768
75  17118 311 2.534 2.369  63.9  63 145964.0 146578
76   7715 319 3.635 3.026 112.4  94 214435.0 226117
77  15907 320 3.260 2.724  82.9  72 214409.0 240345
78  18163 322 3.105 2.606  89.4  80 150774.0 169416
79   4268 327 2.868 2.219 137.2 119 213362.5 221099
80   3818 328 2.830 2.253  69.3  67 123870.5 130452
81  10222 335 3.735 2.700 130.9 103 214220.5 221736
82   3049 338 2.939 2.935  79.6  75 128700.0 131281
83   5068 341 2.545 2.434  92.9  92 125580.0 181147
84  10685 347 3.843 3.809  64.6  61 132470.0 135585
85    365 350 2.571 2.568 101.9  93 150702.5 185480
86  19309 352 2.987 2.923  87.8  87 136409.0 171665
87  15475 354 3.986 3.672  74.7  53 159009.5 159812
88   1201 358 3.187 3.145  74.0  74 145892.5 151204
89   5821 365 2.674 2.571  82.0  81 125976.5 174425
90   4760 367 3.357 3.046  77.0  77 127972.0 129630
91   7962 375 3.808 3.109  77.5  75 155252.5 189912
92  13965 378 3.104 2.897  81.1  77 147504.5 150517
93    728 379 2.202 2.061 101.9  72 122622.5 147221
94   3650 385 3.157 2.448  82.4  57 144384.5 145445
95   7279 386 3.134 3.039  79.9  73 133250.0 134260
96  12766 393 3.849 3.760 107.0  65 214792.5 215511
97   8595 394 2.658 2.333  83.5  82 145190.5 173709
98  16890 401 3.205 2.801  67.9  59 132600.0 132932
99  14298 402 3.817 3.444  68.9  52 148850.0 199232
100  8324 404 3.263 2.811  76.7  69 139724.0 146351
101  8428 413 3.166 3.010  85.5  84 136500.0 192979
102  1543 420 3.675 3.087  69.6  61 139769.5 140085
103  6308 423 4.358 2.384  63.8  58 157241.5 177886
104  2322 426 3.083 3.034  69.7  58 122206.5 155310
105 15219 435 3.322 3.131 115.4  88 213739.5 219968
106 18362 436 2.615 2.335 100.8  78 147738.5 152942
107 19362 449 1.929 1.764 110.9  87 125755.5 125771
108  6315 455 2.344 2.070  72.0  56 129096.5 204086
109   930 466 3.239 3.203  85.6  79 137637.5 137764
110 19351 468 3.162 2.347  70.2  70 125606.0 129339
111 12683 475 3.531 3.036 100.0  82 214409.0 246521
112  7575 478 2.523 2.509  92.9  71 123350.5 193534
113 11412 480 2.437 1.946  84.2  83 122915.0 126521
114  2156 486 2.087 2.047  97.0  97 121186.0 122946
115  5897 495 2.550 2.483  97.0  91 144040.0 182807
116 13225 499 3.383 2.677  58.1  58 122050.5 122166
117 17630 504 2.211 2.207  96.2  96 128368.5 138800
118 18132 516 3.660 3.342  82.2  80 140146.5 179863
119  2992 517 3.677 2.948 119.0 101 213018.0 213036
120   897 537 2.791 2.775  92.4  86 130806.0 151716
121  1287 540 2.432 2.059 102.2  90 142486.5 191561
