            "nrkunna"	"gaedi"	"staerd"	"greidslugeta"
            1	1.812	148	184144
            2	2.406	45	162435
            3	1.89	118	138315
            4	2.084	77	166634
            5	3.14	114	138615
            6	3.081	179	218229
            7	2.885	50	84238
            8	2.777	164	132856
            9	2.096	270	233079
            10	2.45	70	182500
            11	3.349	104	129237
            12	4.045	77	124588
            13	2.092	155	123723
            14	1.804	125	132081
            15	2.113	98	139180
            16	4.253	68	209079
            17	2.964	85	168063
            18	2.618	87	226172
            19	2.513	164	125965
            20	3.329	88	235399
            21	3.286	132	169909
            22	3.164	121	144861
            23	3.288	117	134850
            24	2.784	45	148537
            25	2.823	73	122953
            26	2.833	110	167402
            27	3.348	63	203593
            28	2.822	75	136711
            29	1.976	86	115412
            30	2.331	122	168578
            31	3.04	85	180546
            32	2.918	105	131264
            33	3.465	77	162100
            34	3.38	105	128356
            35	2.008	84	170580
            36	2.076	195	158653
            37	4.126	158	266391
            38	3.45	80	209048
            39	3.591	122	138027
            40	3.545	172	198806
            41	3.676	79	213301
            42	3.205	86	186202
            43	3.423	55	197663
            44	3.221	74	185039
            45	2.702	92	138595
            46	3.147	91	121026
            47	3.093	97	121824
            48	2.924	92	157182
            49	2.71	162	135497
            50	2.548	100	201377
            51	2.997	128	132608
            52	4.092	67	207669
            53	2.118	70	234328
            54	2.923	42	113422
            55	3.309	68	193371
            56	2.354	81	162991
            57	2.693	107	123636
            58	1.717	91	150805
            59	2.064	104	155040
            60	1.818	74	183662
            61	1.926	74	77443
            62	3.628	119	144789
            63	3.238	72	168345
            64	2.922	80	109748
            65	3.119	170	213386
            66	3.349	105	130278
            67	3.145	55	147731
            68	3.488	77	134279
            69	2.787	74	194931
            70	3.695	155	188055
            71	2.198	120	134285
            72	1.809	94	197063
            73	3.329	145	165632
            74	2.381	71	156762
            75	2.56	77	196716
            76	2.948	85	162159
            77	2.54	68	130963
            78	3.177	92	143539
            79	2.013	81	142704
            80	2.054	159	132296
            81	2.224	176	138501
            82	4.188	98	154566
            83	3.805	99	136427
            84	3.899	45	134713
            85	4.191	87	142742
            86	4.066	97	152813
            87	3.741	62	147524
            88	3.618	118	147678
            89	1.92	79	129860
            90	2.536	168	133483
            91	3.081	76	186994
            92	3.477	55	166660
            93	2.506	87	140893
            94	2.735	81	153259
            95	2.471	70	132891
            96	2.781	116	121369
            97	3.028	80	184659
            98	2.38	74	166532
            99	2.747	236	181578
            100	3.128	185	220768
            101	2.891	167	135101
            102	2.51	115	127751
            103	3.077	59	153200
            104	2.333	102	174652
            105	2.582	109	181197
            106	2.705	107	162748
            107	3.777	117	143391
            108	3.214	107	125803
            109	2.68	124	125114
            110	4.295	70	149382
            111	2.61	67	201466
            112	2.242	150	121689
            113	1.934	56	116788
            114	3.109	81	126178
            115	3.217	83	176960
            116	3.608	102	122656
            117	2.111	117	171632
            118	3.228	66	141256
            119	2.878	69	214518
            120	1.906	92	181249
            121	3.516	127	153749
            122	3.065	81	122048
            123	1.993	131	154034
            124	1.803	142	193380
            125	1.962	75	91118
            126	3.032	102	152782
            127	2.859	48	79222
            128	2.814	78	163155
            129	3.945	93	200601
            130	3.998	146	174181
            131	2.127	82	130895
            132	2.826	63	104053
            133	2.982	74	193170
            134	2.866	109	142702
            135	3.484	140	162182
            136	2.505	86	131941
            137	3.683	127	143705
            138	2.465	109	184630
            139	3.05	195	230569
            140	2.919	240	196086
            141	3.432	97	121954
            142	2.932	153	127788
            143	3.212	131	152661
            144	2.712	84	153824
            145	1.828	124	121680
            146	2.002	162	136115
