"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"796"	796	87092.2	"einbylishus"	185.3	"Gardabaer"	4.392
"997"	997	63458.2	"radhus"	141	"Gardabaer"	3.904
"1130"	1130	64287.6	"einbylishus"	189.1	"Grafarvogur"	3.063
"1318"	1318	63943.1	"einbylishus"	215.1	"Gerdin"	3.494
"1469"	1469	61720.1	"einbylishus"	160.9	"Gardabaer"	3.592
"2212"	2212	62188.1	"ibudareign"	143.6	"Gardabaer"	4.252
"2359"	2359	72176	"einbylishus"	283.2	"Kopavogur"	2.414
"2598"	2598	64533.3	"ibudareign"	133.8	"Hlidar"	3.821
"2669"	2669	62363.6	"radhus"	208.1	"Gerdin"	3.556
"3395"	3395	60730.8	"einbylishus"	134.5	"Grafarholt"	3.747
"3836"	3836	76818.3	"einbylishus"	225.8	"Seltjarnanes"	2.587
"4026"	4026	80194.4	"Parhus"	195.6	"Fossvogur"	3.289
"4411"	4411	60533.2	"radhus"	151.9	"Vesturbaer"	2.9
"4741"	4741	77565.8	"einbylishus"	202	"Hafnarfjordur"	3.727
"5086"	5086	81936.4	"einbylishus"	251.1	"Kopavogur"	2.717
"5514"	5514	62387	"Parhus"	136.6	"Kopavogur"	4.141
"5535"	5535	66142.7	"einbylishus"	130.7	"Grafarvogur"	4.069
"5676"	5676	60277.1	"ibudareign"	141.1	"Haaleiti"	4.051
"6423"	6423	93271.1	"ibudareign"	157.7	"Midbaer"	3.77
"6585"	6585	65919.1	"einbylishus"	88.9	"Midbaer"	3.946
"6667"	6667	76187.8	"radhus"	232.5	"Hlidar"	2.479
"6966"	6966	82982.9	"einbylishus"	205.3	"Grafarvogur"	4.218
"7016"	7016	60125	"ibudareign"	129.5	"Gardabaer"	4.517
"7432"	7432	61492.6	"einbylishus"	142.9	"Mosfellsbaer"	4.036
"7742"	7742	67210	"einbylishus"	175.7	"Breidholt"	2.938
"7939"	7939	60515	"Parhus"	155.6	"Grafarholt"	3.613
"7956"	7956	77350	"ibudareign"	152	"Midbaer"	3.528
"8114"	8114	65817.7	"einbylishus"	212.1	"Hafnarfjordur"	2.906
"8163"	8163	80229.5	"ibudareign"	213.5	"Kopavogur"	3.319
"8266"	8266	64832.3	"ibudareign"	112.4	"Midbaer"	3.922
"8291"	8291	63687	"radhus"	149.4	"Grafarvogur"	4.072
"8383"	8383	61750	"ibudareign"	87	"Midbaer"	4.373
"8442"	8442	69980.3	"einbylishus"	156.1	"LaugarneshverfiVogar"	3.984
"8921"	8921	93600	"einbylishus"	166.7	"Gardabaer"	4.184
"9074"	9074	76991.2	"einbylishus"	201.1	"Seltjarnanes"	2.72
"9327"	9327	64673.7	"einbylishus"	248.1	"Breidholt"	2.254
"9407"	9407	68541.2	"ibudareign"	111.9	"Seltjarnanes"	4.021
"9550"	9550	68156.4	"einbylishus"	133.8	"Kopavogur"	3.83
"9975"	9975	71697.6	"ibudareign"	121.9	"Midbaer"	3.998
"10038"	10038	77704.9	"einbylishus"	233.2	"Gerdin"	3.865
