"nrhus";"nuvirdi";"teg_eign";"byggar";"ibm2";"fjherb";"matssvaedi";"gaedi"
"1";24226.8;"Íbúðareign";1970;117;3;"Árbær";1.812
"2";18813.6;"Íbúðareign";1921;45.7;1;"Miðbær";2.406
"3";19305;"Íbúðareign";1967;78.1;2;"Árbær";1.89
"4";23389.6;"Íbúðareign";1973;89.5;3;"Kópavogur";2.084
"5";17270.5;"Íbúðareign";1971;44.9;1;"Kópavogur";3.14
"6";66322.1;"Íbúðareign";1995;195.7;6;"Kópavogur";3.081
"7";30954.3;"Íbúðareign";1994;92.7;2;"Kópavogur";2.885
"8";27021.8;"Íbúðareign";1993;83.9;2;"Kópavogur";2.777
"9";37715.6;"Íbúðareign";1945;148.7;7;"Hafnarfjörður";2.096
"10";29374.8;"Íbúðareign";1993;113.6;3;"Hafnarfjörður";2.45
"11";47301.8;"Íbúðareign";1960;119.4;3;"Laugarneshverfi/Vogar";3.349
"12";29857.1;"Raðhús";1961;86.4;3;"Gerðin";4.045
"13";28600;"Íbúðareign";1974;106.7;3;"Breiðholt";2.092
"14";22713.6;"Íbúðareign";1984;104.1;3;"Hafnarfjörður";1.804
"15";22664.2;"Íbúðareign";1967;96.7;3;"Árbær";2.113
"16";27300;"Íbúðareign";1985;80.3;2;"Gerðin";4.253
"17";32164.6;"Íbúðareign";1992;112;3;"Grafarvogur";2.964
"18";48547.2;"Einbýlishús";1956;156.2;5;"Hafnarfjörður";2.618
"19";26236.6;"Íbúðareign";1993;106;3;"Grafarvogur";2.513
"20";20432.1;"Íbúðareign";1934;53.1;1;"Vesturbær";3.329
"21";22503;"Íbúðareign";1992;59.7;1;"Seltjarnanes";3.286
"22";44825.3;"Íbúðareign";1963;127.3;3;"Háaleiti";3.164
"23";35028.5;"Íbúðareign";1948;103.1;4;"Laugarneshverfi/Vogar";3.288
"24";18125.9;"Íbúðareign";1961;51.7;1;"Hlíðar";2.784
"25";67406.3;"Raðhús";1969;220.7;4;"Fossvogur";2.823
"26";30940;"Íbúðareign";1961;105.8;2;"Laugarneshverfi/Vogar";2.833
"27";68023.8;"Einbýlishús";1979;192.5;5;"Hafnarfjörður";3.348
"28";36124.4;"Íbúðareign";2006;117.5;3;"Hafnarfjörður";2.822
"29";19630;"Íbúðareign";1921;63.2;1;"Miðbær";1.976
"30";20008.3;"Íbúðareign";1968;79.3;2;"Hafnarfjörður";2.331
"31";39599.3;"Íbúðareign";2007;110.1;2;"Hafnarfjörður";3.04
"32";31164.9;"Íbúðareign";1968;101.4;3;"Hafnarfjörður";2.918
"33";43078.1;"Íbúðareign";2008;115.8;3;"Hafnarfjörður";3.465
"34";49558.6;"Íbúðareign";2008;132.7;2;"Garðabær";3.38
"35";22162.4;"Íbúðareign";1991;108.7;2;"Hafnarfjörður";2.008
"36";22386;"Íbúðareign";1966;90.5;3;"Hafnarfjörður";2.076
"37";68640;"Einbýlishús";2011;143.3;3;"Kópavogur";4.126
"38";32295.9;"Íbúðareign";2006;90;2;"Kópavogur";3.45
"39";25667.2;"Íbúðareign";1994;59.3;1;"Kópavogur";3.591
"40";82209.4;"Einbýlishús";1924;154.1;5;"Miðbær";3.545
"41";61479.6;"Íbúðareign";2009;130.4;3;"Seltjarnanes";3.676
"42";44058.3;"Einbýlishús";1943;118.7;3;"Laugarneshverfi/Vogar";3.205
"43";33894.9;"Íbúðareign";2005;92.3;2;"Grafarvogur";3.423
"44";40032.2;"Raðhús";1988;107.7;3;"Mosfellsbær";3.221
"45";27300;"Íbúðareign";2004;97.4;2;"Hafnarfjörður";2.702
"46";77054.9;"Einbýlishús";1989;229.5;5;"Hafnarfjörður";3.147
"47";33361.9;"Íbúðareign";1957;98.6;3;"Hafnarfjörður";3.093
"48";20618;"Íbúðareign";1963;68.5;2;"Hafnarfjörður";2.924
"49";37440;"Íbúðareign";2008;121.9;3;"Kópavogur";2.71
"50";22785.1;"Íbúðareign";1989;57.8;1;"Miðbær";2.548
"51";46316.4;"Íbúðareign";1965;119.6;3;"Seltjarnanes";2.997
"52";32337.5;"Íbúðareign";1985;89.2;2;"Gerðin";4.092
"53";18980;"Íbúðareign";1976;67.2;1;"Breiðholt";2.118
"54";34333;"Íbúðareign";2004;107.2;3;"Grafarholt";2.923
"55";60866;"Einbýlishús";1990;156;3;"Grafarvogur";3.309
"56";51218.7;"Íbúðarhús";1956;189.6;3;"Laugarneshverfi/Vogar";2.354
"57";25981.8;"Íbúðareign";1930;75.3;2;"Vesturbær";2.693
"58";32589.7;"Íbúðareign";1935;115.7;3;"Miðbær";1.717
"59";20121.4;"Íbúðareign";1935;61;1;"Miðbær";2.064
"60";34628.1;"Íbúðareign";1935;115.7;2;"Miðbær";1.818
"61";30576;"Íbúðareign";2007;130.7;3;"Kópavogur";1.926
"62";47273.2;"Íbúðareign";1999;123.7;2;"Kópavogur";3.628
"63";64509.9;"Einbýlishús";1962;184.7;6;"Kópavogur";3.238
"64";28600;"Íbúðareign";2007;95.1;2;"Kópavogur";2.922
"65";34869.9;"Íbúðareign";2003;93.5;2;"Kópavogur";3.119
"66";41545.4;"Íbúðareign";2007;113.2;2;"Kópavogur";3.349
"67";46800;"Einbýlishús";1955;136.9;4;"Kópavogur";3.145
"68";54319.2;"Íbúðareign";2007;135;3;"Kópavogur";3.488
"69";38539.8;"Íbúðareign";2008;115.5;2;"Kópavogur";2.787
"70";41206.1;"Íbúðareign";1958;131.1;2;"Gerðin";3.695
"71";38376;"Íbúðareign";2007;146.9;3;"Kópavogur";2.198
"72";27341.6;"Íbúðareign";1967;114.8;3;"Árbær";1.809
"73";37339.9;"Íbúðareign";1958;109;3;"Laugarneshverfi/Vogar";3.329
"74";32459.7;"Íbúðareign";1967;82.5;3;"Miðbær";2.381
"75";16772.6;"Íbúðareign";1959;51.7;1;"Hlíðar";2.56
"76";32802.9;"Íbúðareign";1919;68.8;1;"Miðbær";2.948
"77";21879;"Íbúðareign";1962;68.1;2;"Háaleiti";2.54
"78";41577.9;"Parhús";1984;111;4;"Mosfellsbær";3.177
