"nrkunna","gaedi","pref_stad","as_timi","staerd","greidslugeta"
"1",1.812,"Grafarvogur","19",148,184144
"2",2.406,"Árbær","18",45,162435
"3",1.89,"Háaleiti","8",118,138315
"4",2.084,"x","10",77,166634
"5",3.14,"Miðbær","14",114,138615
"6",3.081,"Grafarholt","8",179,218229
"7",2.885,"x","10",50,84238
"8",2.777,"Grafarholt","25",164,132856
"9",2.096,"Seltjarnanes","4",270,233079
"10",2.45,"Breiðholt","19",70,182500
"11",3.349,"Vesturbær","24",104,129237
"12",4.045,"Miðbær","x",77,124588
"13",2.092,"Miðbær","x",155,123723
"14",1.804,"Árbær","8",125,132081
"15",2.113,"Breiðholt","5",98,139180
"16",4.253,"Vesturbær","7",68,209079
"17",2.964,"Vesturbær","14",85,168063
"18",2.618,"Árbær","12",87,226172
"19",2.513,"x","26",164,125965
"20",3.329,"Garðabær","10",88,235399
"21",3.286,"Laugarneshverfi/Vogar","16",132,169909
"22",3.164,"Gerðin","5",121,144861
"23",3.288,"Breiðholt","12",117,134850
"24",2.784,"x","26",45,148537
"25",2.823,"Breiðholt","14",73,122953
"26",2.833,"Miðbær","25",110,167402
"27",3.348,"x","11",63,203593
"28",2.822,"Hafnarfjörður","33",75,136711
"29",1.976,"Grafarvogur","11",86,115412
"30",2.331,"Grafarholt","15",122,168578
"31",3.04,"Fossvogur","12",85,180546
"32",2.918,"x","35",105,131264
"33",3.465,"Laugarneshverfi/Vogar","24",77,162100
"34",3.38,"Garðabær","20",105,128356
"35",2.008,"Grafarholt","18",84,170580
"36",2.076,"Grafarvogur","20",195,158653
"37",4.126,"Miðbær","5",158,266391
"38",3.45,"Árbær","6",80,209048
"39",3.591,"Laugarneshverfi/Vogar","24",122,138027
"40",3.545,"Hafnarfjörður","14",172,198806
"41",3.676,"Grafarholt","4",79,213301
"42",3.205,"Grafarholt","22",86,186202
"43",3.423,"Árbær","19",55,197663
"44",3.221,"Árbær","18",74,185039
"45",2.702,"Hafnarfjörður","12",92,138595
"46",3.147,"Breiðholt","3",91,121026
"47",3.093,"Miðbær","33",97,121824
"48",2.924,"Hlíðar","19",92,157182
"49",2.71,"Fossvogur","11",162,135497
"50",2.548,"Hlíðar","6",100,201377
"51",2.997,"Gerðin","29",128,132608
"52",4.092,"Kópavogur","10",67,207669
"53",2.118,"Grafarholt","10",70,234328
"54",2.923,"Miðbær","x",42,113422
"55",3.309,"Háaleiti","25",68,193371
"56",2.354,"Hlíðar","10",81,162991
"57",2.693,"Seltjarnanes","31",107,123636
"58",1.717,"Vesturbær","15",91,150805
"59",2.064,"Kópavogur","21",104,155040
"60",1.818,"Breiðholt","16",74,183662
"61",1.926,"Gerðin","x",74,77443
"62",3.628,"x","5",119,144789
"63",3.238,"Seltjarnanes","18",72,168345
"64",2.922,"Breiðholt","8",80,109748
"65",3.119,"Háaleiti","10",170,213386
"66",3.349,"Laugarneshverfi/Vogar","12",105,130278
"67",3.145,"Vesturbær","30",55,147731
"68",3.488,"Grafarholt","14",77,134279
"69",2.787,"Garðabær","19",74,194931
"70",3.695,"Kópavogur","14",155,188055
"71",2.198,"Laugarneshverfi/Vogar","15",120,134285
"72",1.809,"Kópavogur","16",94,197063
"73",3.329,"Laugarneshverfi/Vogar","20",145,165632
"74",2.381,"Fossvogur","15",71,156762
"75",2.56,"Fossvogur","20",77,196716
"76",2.948,"Kópavogur","21",85,162159
"77",2.54,"x","5",68,130963
"78",3.177,"Seltjarnanes","26",92,143539
"79",2.013,"Grafarvogur","9",81,142704
"80",2.054,"x","12",159,132296
"81",2.224,"Mosfellsbær","8",176,138501
"82",4.188,"Hlíðar","21",98,154566
"83",3.805,"Hlíðar","14",99,136427
"84",3.899,"Garðabær","29",45,134713
"85",4.191,"Garðabær","21",87,142742
"86",4.066,"Mosfellsbær","21",97,152813
"87",3.741,"Hlíðar","17",62,147524
"88",3.618,"Háaleiti","15",118,147678
"89",1.92,"Hlíðar","27",79,129860
"90",2.536,"Laugarneshverfi/Vogar","17",168,133483
"91",3.081,"Vesturbær","22",76,186994
"92",3.477,"Vesturbær","23",55,166660
"93",2.506,"Hlíðar","x",87,140893
"94",2.735,"Hlíðar","14",81,153259
"95",2.471,"Grafarholt","32",70,132891
"96",2.781,"Miðbær","19",116,121369
"97",3.028,"Seltjarnanes","23",80,184659
"98",2.38,"Grafarholt","15",74,166532
"99",2.747,"x","16",236,181578
"100",3.128,"Fossvogur","4",185,220768
"101",2.891,"Garðabær","28",167,135101
"102",2.51,"Háaleiti","6",115,127751
"103",3.077,"Vesturbær","15",59,153200
"104",2.333,"Breiðholt","18",102,174652
"105",2.582,"Vesturbær","18",109,181197
"106",2.705,"Grafarvogur","18",107,162748
"107",3.777,"x","20",117,143391
"108",3.214,"Gerðin","20",107,125803
"109",2.68,"Breiðholt","29",124,125114
"110",4.295,"Grafarholt","12",70,149382
"111",2.61,"Háaleiti","8",67,201466
"112",2.242,"Grafarvogur","17",150,121689
"113",1.934,"x","33",56,116788
"114",3.109,"Kópavogur","30",81,126178
"115",3.217,"Háaleiti","20",83,176960
"116",3.608,"Breiðholt","13",102,122656
"117",2.111,"Árbær","21",117,171632
"118",3.228,"Miðbær","8",66,141256
"119",2.878,"Garðabær","9",69,214518
"120",1.906,"Háaleiti","21",92,181249
"121",3.516,"Breiðholt","14",127,153749
"122",3.065,"Breiðholt","3",81,122048
"123",1.993,"Grafarvogur","17",131,154034
"124",1.803,"Grafarvogur","23",142,193380
"125",1.962,"Garðabær","25",75,91118
"126",3.032,"Garðabær","13",102,152782
"127",2.859,"Garðabær","20",48,79222
"128",2.814,"Garðabær","17",78,163155
"129",3.945,"Háaleiti","5",93,200601
"130",3.998,"Miðbær","25",146,174181
"131",2.127,"Breiðholt","20",82,130895
"132",2.826,"Mosfellsbær","25",63,104053
