"nrkunna","gaedi","pref_stad","as_timi","staerd","greidslugeta" 
"1",1.812,"Grafarvogur","19",148,184144
"2",2.406,"Arbaer","18",45,162435
"3",1.89,"Haaleiti","8",118,138315
"4",2.084,"Hlutlaus","10",77,166634
"5",3.14,"Midbaer","14",114,138615
"6",3.081,"Grafarholt","8",179,218229
"7",2.885,"Hlutlaus","10",50,84238
"8",2.777,"Grafarholt","25",164,132856
"9",2.096,"Seltjarnarnes","4",270,233079
"10",2.45,"Breidholt","19",70,182500
"11",3.349,"Vesturbaer","24",104,129237
"12",4.045,"Midbaer","99",77,124588
"13",2.092,"Midbaer","99",155,123723
"14",1.804,"Arbaer","8",125,132081
"15",2.113,"Breidholt","5",98,139180
"16",4.253,"Vesturbaer","7",68,209079
"17",2.964,"Vesturbaer","14",85,168063
"18",2.618,"Arbaer","12",87,226172
"19",2.513,"Hlutlaus","26",164,125965
"20",3.329,"Gardabaer","10",88,235399
"21",3.286,"LaugarneshverfiVogar","16",132,169909
"22",3.164,"Gerdin","5",121,144861
"23",3.288,"Breidholt","12",117,134850
"24",2.784,"Hlutlaus","26",45,148537
"25",2.823,"Breidholt","14",73,122953
"26",2.833,"Midbaer","25",110,167402
"27",3.348,"Hlutlaus","11",63,203593
"28",2.822,"Hafnarfjordur","33",75,136711
"29",1.976,"Grafarvogur","11",86,115412
"30",2.331,"Grafarholt","15",122,168578
"31",3.04,"Fossvogur","12",85,180546
"32",2.918,"Hlutlaus","35",105,131264
"33",3.465,"LaugarneshverfiVogar","24",77,162100
"34",3.38,"Gardabaer","20",105,128356
"35",2.008,"Grafarholt","18",84,170580
"36",2.076,"Grafarvogur","20",195,158653
"37",4.126,"Midbaer","5",158,266391
"38",3.45,"Arbaer","6",80,209048
"39",3.591,"LaugarneshverfiVogar","24",122,138027
"40",3.545,"Hafnarfjordur","14",172,198806
"41",3.676,"Grafarholt","4",79,213301
"42",3.205,"Grafarholt","22",86,186202
"43",3.423,"Arbaer","19",55,197663
"44",3.221,"Arbaer","18",74,185039
"45",2.702,"Hafnarfjordur","12",92,138595
"46",3.147,"Breidholt","3",91,121026
"47",3.093,"Midbaer","33",97,121824
"48",2.924,"Hlidar","19",92,157182
"49",2.71,"Fossvogur","11",162,135497
"50",2.548,"Hlidar","6",100,201377
"51",2.997,"Gerdin","29",128,132608
"52",4.092,"Kopavogur","10",67,207669
"53",2.118,"Grafarholt","10",70,234328
"54",2.923,"Midbaer","99",42,113422
"55",3.309,"Haaleiti","25",68,193371
"56",2.354,"Hlidar","10",81,162991
"57",2.693,"Seltjarnarnes","31",107,123636
"58",1.717,"Vesturbaer","15",91,150805
"59",2.064,"Kopavogur","21",104,155040
"60",1.818,"Breidholt","16",74,183662
"61",1.926,"Gerdin","99",74,77443
"62",3.628,"Hlutlaus","5",119,144789
"63",3.238,"Seltjarnarnes","18",72,168345
"64",2.922,"Breidholt","8",80,109748
"65",3.119,"Haaleiti","10",170,213386
"66",3.349,"LaugarneshverfiVogar","12",105,130278
"67",3.145,"Vesturbaer","30",55,147731
"68",3.488,"Grafarholt","14",77,134279
"69",2.787,"Gardabaer","19",74,194931
"70",3.695,"Kopavogur","14",155,188055
"71",2.198,"LaugarneshverfiVogar","15",120,134285
"72",1.809,"Kopavogur","16",94,197063
"73",3.329,"LaugarneshverfiVogar","20",145,165632
"74",2.381,"Fossvogur","15",71,156762
"75",2.56,"Fossvogur","20",77,196716
"76",2.948,"Kopavogur","21",85,162159
"77",2.54,"Hlutlaus","5",68,130963
"78",3.177,"Seltjarnarnes","26",92,143539
"79",2.013,"Grafarvogur","9",81,142704
"80",2.054,"Hlutlaus","12",159,132296
"81",2.224,"Mosfellsbaer","8",176,138501
"82",4.188,"Hlidar","21",98,154566
"83",3.805,"Hlidar","14",99,136427
"84",3.899,"Gardabaer","29",45,134713
"85",4.191,"Gardabaer","21",87,142742
"86",4.066,"Mosfellsbaer","21",97,152813
"87",3.741,"Hlidar","17",62,147524
"88",3.618,"Haaleiti","15",118,147678
"89",1.92,"Hlidar","27",79,129860
"90",2.536,"LaugarneshverfiVogar","17",168,133483
"91",3.081,"Vesturbaer","22",76,186994
"92",3.477,"Vesturbaer","23",55,166660
"93",2.506,"Hlidar","99",87,140893
"94",2.735,"Hlidar","14",81,153259
"95",2.471,"Grafarholt","32",70,132891
"96",2.781,"Midbaer","19",116,121369
"97",3.028,"Seltjarnarnes","23",80,184659
"98",2.38,"Grafarholt","15",74,166532
"99",2.747,"Hlutlaus","16",236,181578
"100",3.128,"Fossvogur","4",185,220768
"101",2.891,"Gardabaer","28",167,135101
"102",2.51,"Haaleiti","6",115,127751
"103",3.077,"Vesturbaer","15",59,153200
"104",2.333,"Breidholt","18",102,174652
"105",2.582,"Vesturbaer","18",109,181197
"106",2.705,"Grafarvogur","18",107,162748
"107",3.777,"Hlutlaus","20",117,143391
"108",3.214,"Gerdin","20",107,125803
"109",2.68,"Breidholt","29",124,125114
"110",4.295,"Grafarholt","12",70,149382
"111",2.61,"Haaleiti","8",67,201466
"112",2.242,"Grafarvogur","17",150,121689
"113",1.934,"Hlutlaus","33",56,116788
"114",3.109,"Kopavogur","30",81,126178
"115",3.217,"Haaleiti","20",83,176960
"116",3.608,"Breidholt","13",102,122656
"117",2.111,"Arbaer","21",117,171632
"118",3.228,"Midbaer","8",66,141256
"119",2.878,"Gardabaer","9",69,214518
"120",1.906,"Haaleiti","21",92,181249
"121",3.516,"Breidholt","14",127,153749
"122",3.065,"Breidholt","3",81,122048
"123",1.993,"Grafarvogur","17",131,154034
"124",1.803,"Grafarvogur","23",142,193380
"125",1.962,"Gardabaer","25",75,91118
"126",3.032,"Gardabaer","13",102,152782
"127",2.859,"Gardabaer","20",48,79222
"128",2.814,"Gardabaer","17",78,163155
"129",3.945,"Haaleiti","5",93,200601
"130",3.998,"Midbaer","25",146,174181
"131",2.127,"Breidholt","20",82,130895
"132",2.826,"Mosfellsbaer","25",63,104053
"133",2.982,"Kopavogur","16",74,193170
"134",2.866,"Seltjarnarnes","6",109,142702
"135",3.484,"Gerdin","10",140,162182
"136",2.505,"Breidholt","99",86,131941
"137",3.683,"Breidholt","17",127,143705
"138",2.465,"Midbaer","20",109,184630
"139",3.05,"Hlidar","7",195,230569
"140",2.919,"Vesturbaer","19",240,196086
"141",3.432,"Gerdin","99",97,121954
"142",2.932,"LaugarneshverfiVogar","17",153,127788
"143",3.212,"Vesturbaer","19",131,152661
"144",2.712,"Kopavogur","14",84,153824
"145",1.828,"Hafnarfjordur","12",124,121680
"146",2.002,"Vesturbaer","26",162,136115
"147",2.458,"Fossvogur","21",104,190385
"148",3.038,"Midbaer","15",127,162591
"149",2.528,"Seltjarnarnes","34",92,129834
"150",2.882,"Hlidar","4",53,127160
"151",4.764,"Breidholt","8",153,249325
"152",2.644,"Vesturbaer","15",228,168456
"153",2.677,"Gerdin","22",84,120177
"154",4.264,"Hafnarfjordur","31",80,126611
"155",3.002,"Mosfellsbaer","15",78,197398
"156",2.188,"Breidholt","35",88,142020
"157",2.722,"Hlutlaus","3",64,133828
"158",3.906,"Gardabaer","99",110,131311
"159",3.587,"Mosfellsbaer","28",122,148682
"160",2.725,"Hlutlaus","11",68,221925
"161",3.322,"Gerdin","24",81,135339
"162",2.739,"Grafarvogur","25",55,161320
"163",2.421,"Fossvogur","14",74,160563
"164",2.936,"Fossvogur","7",178,138900
"165",2.813,"Mosfellsbaer","27",100,135252
"166",2.347,"Grafarvogur","26",48,91122
"167",2.86,"Midbaer","33",77,142372
"168",2.622,"Gerdin","21",177,140582
"169",2.771,"Gerdin","16",119,196304
"170",3.029,"LaugarneshverfiVogar","9",92,120555
"171",2.04,"Gardabaer","27",140,144246
"172",2.105,"Vesturbaer","4",185,148720
"173",2.986,"Vesturbaer","11",262,193361
"174",2.654,"Breidholt","11",85,153420
"175",3.573,"Fossvogur","15",70,161462
"176",2.809,"Gerdin","17",114,120918
"177",2.714,"Grafarholt","20",220,177891
"178",2.956,"Breidholt","15",94,151886
"179",2.739,"Midbaer","19",116,155404
"180",3.993,"Mosfellsbaer","20",106,127469
"181",2.708,"Fossvogur","14",83,171303
"182",3.363,"Mosfellsbaer","14",89,137042
"183",2.204,"Vesturbaer","11",57,146657
"184",2.022,"Mosfellsbaer","14",67,126274
"185",2.96,"Kopavogur","24",125,166443
"186",2.029,"Arbaer","19",103,187668
"187",2.051,"LaugarneshverfiVogar","20",123,128232
"188",2.943,"Hlidar","14",53,157662
"189",2.513,"Arbaer","28",133,133888
"190",2.676,"Hafnarfjordur","11",110,170876
"191",2.745,"Vesturbaer","35",144,133577
"192",2.565,"Mosfellsbaer","19",110,150243
"193",2.654,"Hafnarfjordur","21",100,162811
"194",2.301,"Hlutlaus","32",88,126704
"195",3.552,"Hafnarfjordur","18",56,170149
"196",1.899,"Grafarvogur","20",98,185262
"197",2.586,"LaugarneshverfiVogar","22",83,151131
"198",2.632,"Seltjarnarnes","4",91,228404
"199",3.345,"LaugarneshverfiVogar","25",63,198592
"200",2.325,"Gardabaer","9",112,138925
"201",2.311,"Grafarholt","26",69,132644
"202",3.212,"Kopavogur","16",70,134432
"203",3.16,"Breidholt","7",105,123546
"204",3.275,"Fossvogur","17",67,151571
"205",3.926,"Grafarholt","11",37,212384
"206",3.312,"Midbaer","99",96,145466
"207",2.281,"Breidholt","20",101,126384
"208",2.925,"Hafnarfjordur","19",86,120450
"209",3.041,"Gardabaer","5",188,220764
"210",2.671,"Seltjarnarnes","28",51,128129
"211",2.243,"Arbaer","28",130,137123
"212",2.772,"Gerdin","13",123,143367
"213",2.39,"Midbaer","15",211,178140
"214",3.987,"Hafnarfjordur","29",104,130029
"215",2.903,"Breidholt","20",185,155520
"216",2.568,"Hafnarfjordur","3",64,120739
"217",2.831,"Kopavogur","11",157,132530
"218",3.324,"Hlidar","15",109,128987
"219",2.665,"LaugarneshverfiVogar","9",124,131065
"220",3.402,"Grafarvogur","5",90,123156
"221",2.299,"Grafarvogur","24",145,122107
"222",2.417,"Mosfellsbaer","30",123,134002
"223",2.612,"Mosfellsbaer","14",102,151897
"224",3.474,"Vesturbaer","32",109,135677
"225",2.469,"Seltjarnarnes","16",83,151417
"226",2.481,"Gerdin","21",75,147586
"227",2.963,"Arbaer","18",80,156046
"228",2.655,"Gardabaer","17",90,160883
"229",3.548,"Haaleiti","10",76,183013
"230",3.664,"Seltjarnarnes","7",114,136813
"231",2.887,"Grafarvogur","6",116,222352
"232",3.388,"Haaleiti","21",89,144810
"233",2.232,"Vesturbaer","5",108,201839
"234",3.128,"Midbaer","22",61,171250
"235",3.954,"Vesturbaer","99",94,136011
"236",3.356,"Fossvogur","99",92,141576
"237",2.636,"Vesturbaer","12",124,137465
"238",3.162,"Gardabaer","16",74,189696
"239",2.431,"Gardabaer","99",94,146736
"240",2.396,"Vesturbaer","27",158,121047
"241",2.402,"Midbaer","24",73,135685
"242",2.77,"Kopavogur","18",97,123096
"243",2.119,"Mosfellsbaer","31",92,129640
"244",1.931,"Hlidar","7",62,76580
"245",3.275,"Hafnarfjordur","20",104,163415
"246",2.721,"Hlutlaus","12",117,158464
"247",3.039,"Hlidar","22",166,198199
"248",3.274,"Grafarholt","12",61,233568
"249",2.836,"Breidholt","21",110,179610
"250",2.615,"Hafnarfjordur","20",83,178311
"251",3.087,"Fossvogur","15",102,160020
"252",3.574,"Haaleiti","33",76,145381
"253",3.526,"Hlidar","12",59,137617
"254",3.457,"Hafnarfjordur","15",136,168879
"255",3.152,"Arbaer","33",65,140528
"256",2.88,"Fossvogur","25",129,127661
"257",2.1,"Vesturbaer","8",130,141080
"258",2.45,"Kopavogur","20",96,168052
"259",2.666,"Hlutlaus","19",220,175269
"260",2.809,"Vesturbaer","19",57,186053
"261",3.533,"Hlidar","30",54,133326
"262",2.065,"Midbaer","15",142,144018
"263",4.006,"LaugarneshverfiVogar","6",179,281353
"264",3.499,"Grafarvogur","16",113,131642
"265",2.341,"Seltjarnarnes","31",52,141538
"266",3.27,"Gardabaer","25",130,154963
"267",3.334,"Arbaer","9",250,305923
"268",3.019,"Hlutlaus","33",88,126189
"269",2.535,"Hlidar","8",131,122694
"270",2.503,"Arbaer","28",174,143946
"271",2.778,"Arbaer","6",68,139526
"272",2.549,"LaugarneshverfiVogar","29",62,138277
"273",2.741,"Hafnarfjordur","17",179,140491
"274",2.332,"Gardabaer","25",102,125779
"275",3.018,"Arbaer","16",155,185441
"276",2.75,"Haaleiti","16",83,180423
"277",3.921,"Arbaer","26",106,122729
"278",4.226,"Midbaer","21",84,136568
"279",2.948,"Fossvogur","6",121,122835
"280",3.045,"Seltjarnarnes","23",60,146279
"281",3.077,"Haaleiti","25",68,143186
"282",2.902,"Seltjarnarnes","99",78,149953
"283",1.836,"Hlidar","20",64,114167
"284",2.662,"Arbaer","99",161,127583
"285",3.588,"Gardabaer","22",130,158527
"286",3.187,"Hlutlaus","99",77,144749
"287",2.672,"LaugarneshverfiVogar","99",89,134775
"288",1.956,"Gerdin","13",127,145145
"289",2.117,"Grafarholt","28",142,136340
"290",3.55,"Hlutlaus","9",192,234068
"291",3.277,"Vesturbaer","28",96,142203
"292",3.046,"Hafnarfjordur","11",100,153730
"293",3.171,"Gardabaer","16",95,159834
"294",3,"Vesturbaer","21",68,185762
"295",3.031,"Arbaer","24",121,139389
"296",2.756,"Grafarvogur","24",126,155836
"297",2.651,"Hafnarfjordur","14",79,121018
"298",3.993,"Gardabaer","18",80,178395
"299",3.885,"Seltjarnarnes","8",74,231727
"300",4.182,"Grafarholt","19",58,153370
"301",4.284,"Hafnarfjordur","12",243,376311
"302",3.117,"Fossvogur","9",189,234419
"303",3.058,"Midbaer","7",75,204857
"304",3.08,"Mosfellsbaer","20",87,150887
"305",4.098,"Gardabaer","5",93,147591
"306",3.046,"Breidholt","5",206,248239
"307",2.014,"Midbaer","20",106,158768
"308",2.548,"Grafarvogur","17",216,173717
"309",3.466,"LaugarneshverfiVogar","3",54,123674
"310",2.117,"Gardabaer","33",106,141499
"311",2.369,"Gardabaer","20",63,146578
"312",3.344,"Haaleiti","29",73,138336
"313",4.327,"Fossvogur","5",139,218659
"314",2.562,"Grafarholt","32",186,139350
"315",2.374,"Mosfellsbaer","18",90,126015
"316",3.996,"Hlutlaus","19",86,199849
"317",3.298,"Fossvogur","29",104,127150
"318",4.631,"Haaleiti","19",120,191157
"319",3.026,"Vesturbaer","11",94,226117
"320",2.724,"Arbaer","12",72,240345
"321",2.766,"Hlutlaus","6",69,202121
"322",2.606,"Breidholt","20",80,169416
"323",3.158,"LaugarneshverfiVogar","11",162,199375
"324",3.014,"Fossvogur","27",90,135833
"325",2.76,"Gardabaer","11",134,224243
"326",3.228,"Mosfellsbaer","34",101,122622
"327",2.219,"Haaleiti","7",119,221099
"328",2.253,"Gerdin","8",67,130452
"329",2.92,"Mosfellsbaer","19",194,158734
"330",3.143,"Grafarholt","19",94,122069
"331",3.062,"Kopavogur","7",83,122003
"332",2.615,"LaugarneshverfiVogar","16",86,182046
"333",3.025,"Gardabaer","23",101,155123
"334",3.115,"Seltjarnarnes","19",152,175365
"335",2.7,"Midbaer","5",103,221736
"336",3.864,"Grafarholt","15",136,167209
"337",3.182,"Midbaer","20",97,121483
"338",2.935,"Gerdin","13",75,131281
"339",2.769,"Arbaer","99",170,142333
"340",3.677,"Midbaer","29",65,122519
"341",2.434,"Hlidar","17",92,181147
"342",2.998,"Midbaer","99",103,128576
"343",2.225,"Gardabaer","20",123,168998
"344",3.572,"Fossvogur","10",185,219281
"345",3.136,"Hafnarfjordur","7",86,136282
"346",3.45,"Hlutlaus","21",155,181272
"347",3.809,"Hlidar","31",61,135585
"348",4.083,"Hlutlaus","16",101,160162
"349",3.512,"Hlidar","99",65,149977
"350",2.568,"Hafnarfjordur","14",93,185480
"351",3.379,"Hlutlaus","4",225,272194
