Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer Hlutlaus
Vesturbaer 0 8 13 16 18 17 13 17 6 11 13 19 7 15 28 22 99
Hlidar 8 0 8 12 13 13 9 14 8 7 9 13 16 10 22 17 99
LaugarneshverfiVogar 13 8 0 11 13 11 8 13 12 9 7 11 19 11 21 15 99
Breidholt 16 12 11 0 12 8 8 10 14 9 8 7 25 7 17 15 99
Grafarholt 18 13 13 12 0 9 14 7 18 13 11 14 27 13 24 10 99
Arbaer 17 13 11 8 9 0 10 9 15 11 8 12 26 12 23 12 99
Fossvogur 13 9 8 8 14 10 0 12 12 6 5 10 21 10 21 16 99
Grafarvogur 17 14 13 10 7 9 12 0 16 12 10 13 27 14 23 10 99
Midbaer 6 8 12 14 18 15 12 16 0 11 12 18 11 13 26 21 99
Haaleiti 11 7 9 9 13 11 6 12 11 0 6 12 20 10 21 16 99
Gerdin 13 9 7 8 11 8 5 10 12 6 0 11 22 11 21 15 99
Gardabaer 19 13 11 7 14 12 10 13 18 12 11 0 24 7 13 19 99
Seltjarnarnes 7 16 19 25 27 26 21 27 11 20 22 24 0 24 33 27 99
Kopavogur 15 10 11 7 13 12 10 14 13 10 11 7 24 0 16 18 99
Hafnarfjordur 28 22 21 17 24 23 21 23 26 21 21 13 33 16 0 28 99
Mosfellsbaer 22 17 15 15 10 12 16 10 21 16 15 19 27 18 28 0 99
Hlutlaus 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99

















